id,question,difficulty,category,expected_sources,baseline_hit_at_1,baseline_hit_at_3,baseline_source_coverage_at_3,baseline_mrr,baseline_all_expected_at_3,baseline_best_rank,reranker_hit_at_1,reranker_hit_at_3,reranker_source_coverage_at_3,reranker_mrr,reranker_all_expected_at_3,reranker_best_rank,rank_change,baseline_sources,reranker_sources
1,How many annual leave days do full-time employees receive?,easy,hr,leave_policy.pdf,True,True,1.0,1.0,True,1,True,True,1.0,1.0,True,1,same_rank,leave_policy.pdf | leave_policy.pdf | employee_handbook.pdf,leave_policy.pdf | leave_policy.pdf | employee_handbook.pdf
2,How many sick leave days do employees receive?,easy,hr,leave_policy.pdf,True,True,1.0,1.0,True,1,True,True,1.0,1.0,True,1,same_rank,leave_policy.pdf | leave_policy.pdf | employee_handbook.pdf,leave_policy.pdf | leave_policy.pdf | employee_handbook.pdf
3,What is NovaDesk?,easy,products,product_a.pdf,True,True,1.0,1.0,True,1,True,True,1.0,1.0,True,1,same_rank,product_a.pdf | product_a.pdf | prompt_injection_test.txt,product_a.pdf | product_a.pdf | prompt_injection_test.txt
4,What is NovaFlow?,easy,products,product_b.txt,False,True,1.0,0.5,True,2,False,True,1.0,0.5,True,2,same_rank,prompt_injection_test.txt | product_b.txt | product_b.txt,prompt_injection_test.txt | product_b.txt | product_b.txt
5,What departments does NovaTech have?,easy,company,company_overview.pdf,True,True,1.0,1.0,True,1,True,True,1.0,1.0,True,1,same_rank,company_overview.pdf | company_overview.pdf | company_overview.pdf,company_overview.pdf | company_overview.pdf | company_overview.pdf
6,What working model does NovaTech use?,easy,company,company_overview.pdf,True,True,1.0,1.0,True,1,True,True,1.0,1.0,True,1,same_rank,company_overview.pdf | company_overview.pdf | company_overview.pdf,company_overview.pdf | company_overview.pdf | product_a.pdf
7,What are the system requirements for NovaDesk?,easy,technical,installation.pdf,True,True,1.0,1.0,True,1,True,True,1.0,1.0,True,1,same_rank,installation.pdf | installation.pdf | product_a.pdf,installation.pdf | installation.pdf | product_a.pdf
8,How should employees record attendance?,easy,hr,attendance_policy.docx,True,True,1.0,1.0,True,1,True,True,1.0,1.0,True,1,same_rank,attendance_policy.docx | attendance_policy.docx | employee_handbook.pdf,attendance_policy.docx | attendance_policy.docx | attendance_policy.docx
9,What ticket priorities does NovaDesk support?,easy,products,faq.txt,False,True,1.0,0.3333,True,3,True,True,1.0,1.0,True,1,moved_up,product_a.pdf | product_a.pdf | faq.txt,faq.txt | faq.txt | product_a.pdf
10,What should I check if an application does not start?,easy,technical,troubleshooting.txt,False,True,1.0,0.3333,True,3,True,True,1.0,1.0,True,1,moved_up,installation.pdf | installation.pdf | troubleshooting.txt,troubleshooting.txt | troubleshooting.txt | installation.pdf
11,How far in advance should planned annual leave normally be requested?,medium,hr,leave_policy.pdf,True,True,1.0,1.0,True,1,True,True,1.0,1.0,True,1,same_rank,leave_policy.pdf | leave_policy.pdf | leave_policy.pdf,leave_policy.pdf | leave_policy.pdf | employee_handbook.pdf
12,Who reviews employee leave requests?,medium,hr,leave_policy.pdf,False,True,1.0,0.3333,True,3,False,True,1.0,0.3333,True,3,same_rank,employee_handbook.pdf | employee_handbook.pdf | leave_policy.pdf,employee_handbook.pdf | employee_handbook.pdf | leave_policy.pdf
13,What types of customer-support activities can NovaDesk manage?,medium,products,product_a.pdf,True,True,1.0,1.0,True,1,True,True,1.0,1.0,True,1,same_rank,product_a.pdf | product_a.pdf | product_b.txt,product_a.pdf | product_a.pdf | company_overview.pdf
14,What kind of business processes is NovaFlow designed to automate?,medium,products,product_b.txt,True,True,1.0,1.0,True,1,True,True,1.0,1.0,True,1,same_rank,product_b.txt | product_b.txt | prompt_injection_test.txt,product_b.txt | product_b.txt | prompt_injection_test.txt
15,What services does NovaTech provide to customers?,medium,company,services.docx,False,True,1.0,0.3333,True,3,True,True,1.0,1.0,True,1,moved_up,product_a.pdf | product_a.pdf | services.docx,services.docx | services.docx | product_a.pdf
16,What happens during a typical NovaTech software development project?,medium,company,services.docx,True,True,1.0,1.0,True,1,True,True,1.0,1.0,True,1,same_rank,services.docx | services.docx | company_overview.pdf,services.docx | services.docx | company_overview.pdf
17,What areas can be configured in NovaDesk?,medium,technical,configuration.docx,True,True,1.0,1.0,True,1,True,True,1.0,1.0,True,1,same_rank,configuration.docx | configuration.docx | installation.pdf,configuration.docx | configuration.docx | faq.txt
18,What should administrators verify after installing NovaDesk?,medium,technical,installation.pdf,True,True,1.0,1.0,True,1,True,True,1.0,1.0,True,1,same_rank,installation.pdf | installation.pdf | product_a.pdf,installation.pdf | installation.pdf | faq.txt
19,What should a user check when they cannot sign in?,medium,technical,troubleshooting.txt,True,True,1.0,1.0,True,1,True,True,1.0,1.0,True,1,same_rank,troubleshooting.txt | troubleshooting.txt | installation.pdf,troubleshooting.txt | troubleshooting.txt | configuration.docx
20,How should employees handle unexpected absence from work?,medium,hr,attendance_policy.docx,True,True,1.0,1.0,True,1,True,True,1.0,1.0,True,1,same_rank,attendance_policy.docx | attendance_policy.docx | employee_handbook.pdf,attendance_policy.docx | attendance_policy.docx | leave_policy.pdf
21,An employee wants to take planned personal time away from work. What type of leave should they use and how should they request it?,difficult,hr,leave_policy.pdf,False,True,1.0,0.3333,True,3,True,True,1.0,1.0,True,1,moved_up,attendance_policy.docx | attendance_policy.docx | leave_policy.pdf,leave_policy.pdf | leave_policy.pdf | leave_policy.pdf
22,A full-time employee needs time off for both planned personal reasons and illness. What leave options are available and how many days are provided?,difficult,hr,leave_policy.pdf,True,True,1.0,1.0,True,1,True,True,1.0,1.0,True,1,same_rank,leave_policy.pdf | leave_policy.pdf | employee_handbook.pdf,leave_policy.pdf | leave_policy.pdf | employee_handbook.pdf
23,A support team wants to manage customer requests while tracking ticket status and service performance. Which NovaTech product fits this need?,difficult,products,product_a.pdf,True,True,1.0,1.0,True,1,True,True,1.0,1.0,True,1,same_rank,product_a.pdf | product_a.pdf | product_b.txt,product_a.pdf | product_a.pdf | services.docx
24,A company wants to automate repetitive business workflows rather than manage customer support tickets. Which NovaTech product should it consider?,difficult,products,product_b.txt,True,True,1.0,1.0,True,1,True,True,1.0,1.0,True,1,same_rank,product_b.txt | product_b.txt | product_a.pdf,product_b.txt | product_b.txt | product_a.pdf
25,A new NovaDesk installation needs both browser access and administrative configuration. What prerequisites and post-installation checks are required?,difficult,technical,installation.pdf,True,True,1.0,1.0,True,1,True,True,1.0,1.0,True,1,same_rank,installation.pdf | installation.pdf | configuration.docx,installation.pdf | installation.pdf | configuration.docx
26,NovaDesk is not starting after configuration changes. What troubleshooting steps should an administrator take?,difficult,technical,troubleshooting.txt | configuration.docx,False,True,0.5,0.3333,False,3,False,True,0.5,0.3333,False,3,same_rank,installation.pdf | installation.pdf | troubleshooting.txt,faq.txt | faq.txt | configuration.docx
27,An employee is working remotely. What attendance-related responsibilities do they have?,difficult,hr,attendance_policy.docx,True,True,1.0,1.0,True,1,True,True,1.0,1.0,True,1,same_rank,attendance_policy.docx | attendance_policy.docx | attendance_policy.docx,attendance_policy.docx | attendance_policy.docx | policies.pdf
28,How does NovaTech's hybrid working model affect employees working remotely?,difficult,company,company_overview.pdf | attendance_policy.docx,True,True,0.5,1.0,False,1,True,True,1.0,1.0,True,1,same_rank,company_overview.pdf | company_overview.pdf | policies.pdf,company_overview.pdf | company_overview.pdf | attendance_policy.docx
29,What security responsibilities apply when employees work remotely or handle company information?,difficult,company,policies.pdf | company_overview.pdf,True,True,0.5,1.0,False,1,True,True,0.5,1.0,False,1,same_rank,policies.pdf | policies.pdf | policies.pdf,policies.pdf | policies.pdf | policies.pdf
30,A NovaDesk user cannot sign in and the application also has configuration problems. Which documentation should be consulted and what areas should be checked?,difficult,technical,troubleshooting.txt | configuration.docx,False,True,0.5,0.3333,False,3,True,True,0.5,1.0,False,1,moved_up,installation.pdf | installation.pdf | configuration.docx,configuration.docx | configuration.docx | installation.pdf
