id,question,difficulty,category,expected_sources,dense_sources,bm25_sources,hybrid_sources,dense_hit_at_3,bm25_hit_at_3,hybrid_hit_at_3,dense_precision_at_3,bm25_precision_at_3,hybrid_precision_at_3,dense_recall_at_3,bm25_recall_at_3,hybrid_recall_at_3,dense_mrr,bm25_mrr,hybrid_mrr,dense_coverage_at_3,bm25_coverage_at_3,hybrid_coverage_at_3
1,How many annual leave days do full-time employees receive?,easy,hr,leave_policy.pdf,leave_policy.pdf|leave_policy.pdf|employee_handbook.pdf,leave_policy.pdf|leave_policy.pdf|employee_handbook.pdf,leave_policy.pdf|leave_policy.pdf|employee_handbook.pdf,1,1,1,0.6667,0.6667,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,How many sick leave days do employees receive?,easy,hr,leave_policy.pdf,leave_policy.pdf|leave_policy.pdf|employee_handbook.pdf,leave_policy.pdf|leave_policy.pdf|employee_handbook.pdf,leave_policy.pdf|leave_policy.pdf|employee_handbook.pdf,1,1,1,0.6667,0.6667,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,What is NovaDesk?,easy,products,product_a.pdf,product_a.pdf|product_a.pdf|prompt_injection_test.txt,product_a.pdf|product_a.pdf|prompt_injection_test.txt,product_a.pdf|product_a.pdf|prompt_injection_test.txt,1,1,1,0.6667,0.6667,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,What is NovaFlow?,easy,products,product_b.txt,prompt_injection_test.txt|product_b.txt|product_b.txt,product_b.txt|product_b.txt|prompt_injection_test.txt,product_b.txt|product_b.txt|prompt_injection_test.txt,1,1,1,0.6667,0.6667,0.6667,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
5,What departments does NovaTech have?,easy,company,company_overview.pdf,company_overview.pdf|company_overview.pdf|company_overview.pdf,company_overview.pdf|company_overview.pdf|troubleshooting.txt,company_overview.pdf|company_overview.pdf|company_overview.pdf,1,1,1,1.0,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,What working model does NovaTech use?,easy,company,company_overview.pdf,company_overview.pdf|company_overview.pdf|company_overview.pdf,company_overview.pdf|company_overview.pdf|troubleshooting.txt,company_overview.pdf|company_overview.pdf|company_overview.pdf,1,1,1,1.0,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,What are the system requirements for NovaDesk?,easy,technical,installation.pdf,installation.pdf|installation.pdf|product_a.pdf,installation.pdf|installation.pdf|product_a.pdf,installation.pdf|installation.pdf|product_a.pdf,1,1,1,0.6667,0.6667,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,How should employees record attendance?,easy,hr,attendance_policy.docx,attendance_policy.docx|attendance_policy.docx|employee_handbook.pdf,attendance_policy.docx|attendance_policy.docx|configuration.docx,attendance_policy.docx|attendance_policy.docx|employee_handbook.pdf,1,1,1,0.6667,0.6667,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,What ticket priorities does NovaDesk support?,easy,products,faq.txt,product_a.pdf|product_a.pdf|faq.txt,faq.txt|faq.txt|troubleshooting.txt,faq.txt|product_a.pdf|faq.txt,1,1,1,0.3333,0.6667,0.6667,1.0,1.0,1.0,0.3333,1.0,1.0,1.0,1.0,1.0
10,What should I check if an application does not start?,easy,technical,troubleshooting.txt,installation.pdf|installation.pdf|troubleshooting.txt,troubleshooting.txt|troubleshooting.txt|installation.pdf,troubleshooting.txt|installation.pdf|troubleshooting.txt,1,1,1,0.3333,0.6667,0.6667,1.0,1.0,1.0,0.3333,1.0,1.0,1.0,1.0,1.0
