question_id,question,difficulty,category,expected_sources,hit_rate@1,precision@1,recall@1,hit_rate@3,precision@3,recall@3,hit_rate@5,precision@5,recall@5,hit_rate@10,precision@10,recall@10,reciprocal_rank,retrieved_sources
1,How many annual leave days do full-time employees receive?,easy,hr,leave_policy.pdf,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.4,1.0,1.0,0.2,1.0,1.0,leave_policy.pdf; employee_handbook.pdf; leave_policy.pdf; attendance_policy.docx; employee_handbook.pdf; attendance_policy.docx; policies.pdf; troubleshooting.txt; company_overview.pdf; policies.pdf
2,How many sick leave days do employees receive?,easy,hr,leave_policy.pdf,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.4,1.0,1.0,0.2,1.0,1.0,leave_policy.pdf; employee_handbook.pdf; attendance_policy.docx; leave_policy.pdf; attendance_policy.docx; employee_handbook.pdf; policies.pdf; troubleshooting.txt; policies.pdf; company_overview.pdf
3,What is NovaDesk?,easy,products,product_a.pdf,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0,product_a.pdf; company_overview.pdf; installation.pdf; services.docx; configuration.docx; faq.txt; product_b.txt; faq.txt; troubleshooting.txt; company_overview.pdf
4,What is NovaFlow?,easy,products,product_b.txt,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0,product_b.txt; product_a.pdf; faq.txt; services.docx; company_overview.pdf; configuration.docx; installation.pdf; company_overview.pdf; troubleshooting.txt; policies.pdf
5,What departments does NovaTech have?,easy,company,company_overview.pdf,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.4,1.0,1.0,0.2,1.0,1.0,company_overview.pdf; company_overview.pdf; services.docx; employee_handbook.pdf; product_a.pdf; policies.pdf; installation.pdf; faq.txt; product_b.txt; attendance_policy.docx
6,What working model does NovaTech use?,easy,company,company_overview.pdf,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.4,1.0,1.0,0.2,1.0,1.0,company_overview.pdf; company_overview.pdf; services.docx; employee_handbook.pdf; product_a.pdf; product_b.txt; policies.pdf; installation.pdf; attendance_policy.docx; configuration.docx
7,What are the system requirements for NovaDesk?,easy,technical,installation.pdf,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0,installation.pdf; product_a.pdf; configuration.docx; faq.txt; faq.txt; company_overview.pdf; services.docx; troubleshooting.txt; policies.pdf; product_b.txt
8,How should employees record attendance?,easy,hr,attendance_policy.docx,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.4,1.0,1.0,0.2,1.0,1.0,attendance_policy.docx; employee_handbook.pdf; configuration.docx; attendance_policy.docx; troubleshooting.txt; leave_policy.pdf; policies.pdf; leave_policy.pdf; employee_handbook.pdf; product_a.pdf
9,What ticket priorities does NovaDesk support?,easy,products,faq.txt,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,1.0,0.4,1.0,1.0,0.2,1.0,0.5,product_a.pdf; faq.txt; faq.txt; configuration.docx; installation.pdf; product_a.pdf; company_overview.pdf; product_b.txt; services.docx; attendance_policy.docx
10,What should I check if an application does not start?,easy,technical,troubleshooting.txt,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,1.0,0.4,1.0,1.0,0.2,1.0,0.5,installation.pdf; troubleshooting.txt; configuration.docx; installation.pdf; troubleshooting.txt; faq.txt; configuration.docx; product_b.txt; product_b.txt; faq.txt
11,How far in advance should planned annual leave normally be requested?,medium,hr,leave_policy.pdf,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.4,1.0,1.0,0.2,1.0,1.0,leave_policy.pdf; leave_policy.pdf; employee_handbook.pdf; employee_handbook.pdf; attendance_policy.docx; attendance_policy.docx; troubleshooting.txt; policies.pdf; faq.txt; faq.txt
12,Who reviews employee leave requests?,medium,hr,leave_policy.pdf,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,1.0,0.4,1.0,1.0,0.2,1.0,0.5,employee_handbook.pdf; leave_policy.pdf; attendance_policy.docx; policies.pdf; leave_policy.pdf; employee_handbook.pdf; troubleshooting.txt; configuration.docx; installation.pdf; policies.pdf
13,What types of customer-support activities can NovaDesk manage?,medium,products,product_a.pdf,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0,product_a.pdf; product_b.txt; company_overview.pdf; services.docx; company_overview.pdf; faq.txt; policies.pdf; installation.pdf; configuration.docx; employee_handbook.pdf
14,What kind of business processes is NovaFlow designed to automate?,medium,products,product_b.txt,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,product_b.txt; services.docx; faq.txt; product_a.pdf; company_overview.pdf; company_overview.pdf; product_b.txt; installation.pdf; services.docx; policies.pdf
15,What services does NovaTech provide to customers?,medium,company,services.docx,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,0.5,product_a.pdf; services.docx; company_overview.pdf; policies.pdf; company_overview.pdf; employee_handbook.pdf; installation.pdf; attendance_policy.docx; troubleshooting.txt; product_b.txt
16,What happens during a typical NovaTech software development project?,medium,company,services.docx,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0,services.docx; company_overview.pdf; company_overview.pdf; installation.pdf; employee_handbook.pdf; product_b.txt; product_a.pdf; policies.pdf; faq.txt; configuration.docx
17,What areas can be configured in NovaDesk?,medium,technical,configuration.docx,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0,configuration.docx; installation.pdf; product_a.pdf; services.docx; faq.txt; faq.txt; company_overview.pdf; troubleshooting.txt; company_overview.pdf; product_b.txt
18,What should administrators verify after installing NovaDesk?,medium,technical,installation.pdf,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,installation.pdf; product_a.pdf; faq.txt; configuration.docx; faq.txt; policies.pdf; company_overview.pdf; troubleshooting.txt; services.docx; installation.pdf
19,What should a user check when they cannot sign in?,medium,technical,troubleshooting.txt,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,troubleshooting.txt; installation.pdf; configuration.docx; attendance_policy.docx; faq.txt; troubleshooting.txt; installation.pdf; configuration.docx; policies.pdf; policies.pdf
20,How should employees handle unexpected absence from work?,medium,hr,attendance_policy.docx,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.4,1.0,1.0,0.2,1.0,1.0,attendance_policy.docx; employee_handbook.pdf; attendance_policy.docx; leave_policy.pdf; policies.pdf; troubleshooting.txt; leave_policy.pdf; installation.pdf; employee_handbook.pdf; policies.pdf
21,An employee wants to take planned personal time away from work. What type of leave should they use and how should they request it?,difficult,hr,leave_policy.pdf,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,1.0,0.4,1.0,1.0,0.2,1.0,0.5,attendance_policy.docx; leave_policy.pdf; leave_policy.pdf; employee_handbook.pdf; employee_handbook.pdf; attendance_policy.docx; policies.pdf; policies.pdf; product_b.txt; troubleshooting.txt
22,A full-time employee needs time off for both planned personal reasons and illness. What leave options are available and how many days are provided?,difficult,hr,leave_policy.pdf,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.4,1.0,1.0,0.2,1.0,1.0,leave_policy.pdf; employee_handbook.pdf; attendance_policy.docx; leave_policy.pdf; attendance_policy.docx; employee_handbook.pdf; policies.pdf; installation.pdf; policies.pdf; troubleshooting.txt
23,A support team wants to manage customer requests while tracking ticket status and service performance. Which NovaTech product fits this need?,difficult,products,product_a.pdf,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,product_a.pdf; product_b.txt; attendance_policy.docx; company_overview.pdf; services.docx; policies.pdf; faq.txt; configuration.docx; company_overview.pdf; product_a.pdf
24,A company wants to automate repetitive business workflows rather than manage customer support tickets. Which NovaTech product should it consider?,difficult,products,product_b.txt,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.1,1.0,1.0,product_b.txt; product_a.pdf; company_overview.pdf; services.docx; policies.pdf; attendance_policy.docx; faq.txt; employee_handbook.pdf; company_overview.pdf; leave_policy.pdf
25,A new NovaDesk installation needs both browser access and administrative configuration. What prerequisites and post-installation checks are required?,difficult,technical,installation.pdf,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,installation.pdf; configuration.docx; product_a.pdf; faq.txt; faq.txt; troubleshooting.txt; policies.pdf; services.docx; company_overview.pdf; installation.pdf
26,NovaDesk is not starting after configuration changes. What troubleshooting steps should an administrator take?,difficult,technical,configuration.docx; troubleshooting.txt,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,1.0,0.4,1.0,1.0,0.2,1.0,0.5,installation.pdf; troubleshooting.txt; configuration.docx; faq.txt; product_a.pdf; faq.txt; company_overview.pdf; services.docx; installation.pdf; product_b.txt
27,An employee is working remotely. What attendance-related responsibilities do they have?,difficult,hr,attendance_policy.docx,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.4,1.0,1.0,0.2,1.0,1.0,attendance_policy.docx; attendance_policy.docx; policies.pdf; employee_handbook.pdf; troubleshooting.txt; company_overview.pdf; policies.pdf; employee_handbook.pdf; product_a.pdf; leave_policy.pdf
28,How does NovaTech's hybrid working model affect employees working remotely?,difficult,company,attendance_policy.docx; company_overview.pdf,1.0,1.0,0.5,1.0,0.6666666666666666,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,company_overview.pdf; policies.pdf; attendance_policy.docx; employee_handbook.pdf; policies.pdf; leave_policy.pdf; company_overview.pdf; services.docx; product_a.pdf; attendance_policy.docx
