chunk_size,chunk_overlap,chunk_count,average_length,minimum_length,maximum_length,total_characters
300,0,37,240.35,22,300,8893
300,50,39,262.62,68,300,10242
300,100,45,270.87,102,300,12189
300,200,72,289.99,202,300,20879
500,0,24,370.54,123,500,8893
500,50,24,395.5,173,500,9492
500,100,25,407.64,121,500,10191
500,200,27,440.41,218,500,11891
800,0,15,592.93,17,800,8894
800,50,15,603.0,68,800,9045
800,100,15,613.07,118,800,9196
800,200,15,633.07,218,800,9496
1200,0,12,741.33,623,922,8896
1200,50,12,741.33,623,922,8896
1200,100,12,741.33,623,922,8896
1200,200,12,741.33,623,922,8896
