id,question,difficulty,category,expected_sources,baseline_hit,baseline_ranks,baseline_sources,reranker_hit,reranker_ranks,reranker_sources,reranker_scores,change
1,How many annual leave days do full-time employees receive?,easy,hr,leave_policy.pdf,True,1 | 2,1:leave_policy.pdf | 2:leave_policy.pdf | 3:employee_handbook.pdf,True,1 | 2,1:leave_policy.pdf | 2:leave_policy.pdf | 3:employee_handbook.pdf,1:9.1367 | 2:9.1367 | 3:7.1442,same_success
2,How many sick leave days do employees receive?,easy,hr,leave_policy.pdf,True,1 | 2,1:leave_policy.pdf | 2:leave_policy.pdf | 3:employee_handbook.pdf,True,1 | 2,1:leave_policy.pdf | 2:leave_policy.pdf | 3:employee_handbook.pdf,1:8.5038 | 2:8.5038 | 3:5.7940,same_success
3,What is NovaDesk?,easy,products,product_a.pdf,True,1 | 2,1:product_a.pdf | 2:product_a.pdf | 3:prompt_injection_test.txt,True,1 | 2,1:product_a.pdf | 2:product_a.pdf | 3:prompt_injection_test.txt,1:9.2618 | 2:9.2618 | 3:6.2101,same_success
4,What is NovaFlow?,easy,products,product_b.txt,True,2 | 3,1:prompt_injection_test.txt | 2:product_b.txt | 3:product_b.txt,True,2 | 3,1:prompt_injection_test.txt | 2:product_b.txt | 3:product_b.txt,1:10.0024 | 2:8.2880 | 3:8.2880,same_success
5,What departments does NovaTech have?,easy,company,company_overview.pdf,True,1 | 2 | 3,1:company_overview.pdf | 2:company_overview.pdf | 3:company_overview.pdf,True,1 | 2 | 3,1:company_overview.pdf | 2:company_overview.pdf | 3:company_overview.pdf,1:7.9061 | 2:7.9061 | 3:4.5154,same_success
6,What working model does NovaTech use?,easy,company,company_overview.pdf,True,1 | 2 | 3,1:company_overview.pdf | 2:company_overview.pdf | 3:company_overview.pdf,True,1 | 2,1:company_overview.pdf | 2:company_overview.pdf | 3:product_a.pdf,1:8.7654 | 2:8.7654 | 3:2.6138,same_success
7,What are the system requirements for NovaDesk?,easy,technical,installation.pdf,True,1 | 2,1:installation.pdf | 2:installation.pdf | 3:product_a.pdf,True,1 | 2,1:installation.pdf | 2:installation.pdf | 3:product_a.pdf,1:8.5111 | 2:8.5111 | 3:4.6259,same_success
8,How should employees record attendance?,easy,hr,attendance_policy.docx,True,1 | 2,1:attendance_policy.docx | 2:attendance_policy.docx | 3:employee_handbook.pdf,True,1 | 2 | 3,1:attendance_policy.docx | 2:attendance_policy.docx | 3:attendance_policy.docx,1:7.3682 | 2:7.3682 | 3:-4.6867,same_success
9,What ticket priorities does NovaDesk support?,easy,products,faq.txt,True,3,1:product_a.pdf | 2:product_a.pdf | 3:faq.txt,True,1 | 2,1:faq.txt | 2:faq.txt | 3:product_a.pdf,1:7.8727 | 2:7.8727 | 3:5.8509,same_success
10,What should I check if an application does not start?,easy,technical,troubleshooting.txt,True,3,1:installation.pdf | 2:installation.pdf | 3:troubleshooting.txt,True,1 | 2,1:troubleshooting.txt | 2:troubleshooting.txt | 3:installation.pdf,1:4.6367 | 2:4.6367 | 3:-3.8450,same_success
11,How far in advance should planned annual leave normally be requested?,medium,hr,leave_policy.pdf,True,1 | 2 | 3,1:leave_policy.pdf | 2:leave_policy.pdf | 3:leave_policy.pdf,True,1 | 2,1:leave_policy.pdf | 2:leave_policy.pdf | 3:employee_handbook.pdf,1:7.9124 | 2:7.9124 | 3:1.4081,same_success
12,Who reviews employee leave requests?,medium,hr,leave_policy.pdf,True,3,1:employee_handbook.pdf | 2:employee_handbook.pdf | 3:leave_policy.pdf,True,3,1:employee_handbook.pdf | 2:employee_handbook.pdf | 3:leave_policy.pdf,1:7.5660 | 2:7.5660 | 3:5.9227,same_success
13,What types of customer-support activities can NovaDesk manage?,medium,products,product_a.pdf,True,1 | 2,1:product_a.pdf | 2:product_a.pdf | 3:product_b.txt,True,1 | 2,1:product_a.pdf | 2:product_a.pdf | 3:company_overview.pdf,1:6.3868 | 2:6.3868 | 3:-1.4585,same_success
